# k_data chi_data_k2 k_model chi_model_k2
0.000000e+00 -0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-02 -8.203422e-05 5.000000e-02 7.970912e-05
1.000000e-01 -4.651036e-04 1.000000e-01 3.134494e-04
1.500000e-01 -1.345261e-03 1.500000e-01 6.853717e-04
2.000000e-01 -2.899098e-03 2.000000e-01 1.170095e-03
2.500000e-01 -5.275077e-03 2.500000e-01 1.734235e-03
3.000000e-01 -8.584871e-03 3.000000e-01 2.338512e-03
3.500000e-01 -1.289469e-02 3.500000e-01 2.940396e-03
4.000000e-01 -1.821663e-02 4.000000e-01 3.497295e-03
4.500000e-01 -2.449998e-02 4.500000e-01 3.970268e-03
5.000000e-01 -3.162259e-02 5.000000e-01 4.328317e-03
5.500000e-01 -3.938218e-02 5.500000e-01 4.553349e-03
6.000000e-01 -4.748770e-02 6.000000e-01 4.645884e-03
6.500000e-01 -5.555063e-02 6.500000e-01 4.631599e-03
7.000000e-01 -6.307633e-02 7.000000e-01 4.568591e-03
7.500000e-01 -6.949804e-02 7.500000e-01 4.554954e-03
8.000000e-01 -7.448060e-02 8.000000e-01 4.735666e-03
8.500000e-01 -7.791163e-02 8.500000e-01 5.307039e-03
9.000000e-01 -7.984239e-02 9.000000e-01 6.516028e-03
9.500000e-01 -8.051929e-02 9.500000e-01 8.650868e-03
1.000000e+00 -8.041587e-02 1.000000e+00 1.201908e-02
1.050000e+00 -7.990426e-02 1.050000e+00 1.690940e-02
1.100000e+00 -7.762538e-02 1.100000e+00 2.353579e-02
1.150000e+00 -7.118458e-02 1.150000e+00 3.196541e-02
1.200000e+00 -5.932738e-02 1.200000e+00 4.203646e-02
1.250000e+00 -4.227877e-02 1.250000e+00 5.327790e-02
1.300000e+00 -2.084632e-02 1.300000e+00 6.484692e-02
1.350000e+00 3.463195e-03 1.350000e+00 7.550285e-02
1.400000e+00 2.855683e-02 1.400000e+00 8.363565e-02
1.450000e+00 5.198435e-02 1.450000e+00 8.736431e-02
1.500000e+00 7.444939e-02 1.500000e+00 8.472153e-02
1.550000e+00 9.880040e-02 1.550000e+00 7.397287e-02
1.600000e+00 1.232837e-01 1.600000e+00 9.627900e-02
1.650000e+00 1.448285e-01 1.650000e+00 1.162252e-01
1.700000e+00 1.616460e-01 1.700000e+00 1.308938e-01
1.750000e+00 1.729287e-01 1.750000e+00 1.407055e-01
1.800000e+00 1.784626e-01 1.800000e+00 1.460813e-01
1.850000e+00 1.784529e-01 1.850000e+00 1.483396e-01
1.900000e+00 1.750132e-01 1.900000e+00 1.491446e-01
1.950000e+00 1.675661e-01 1.950000e+00 1.482466e-01
2.000000e+00 1.540592e-01 2.000000e+00 1.453764e-01
2.050000e+00 1.399886e-01 2.050000e+00 1.398246e-01
2.100000e+00 1.319974e-01 2.100000e+00 1.296874e-01
2.150000e+00 1.209681e-01 2.150000e+00 1.157068e-01
2.200000e+00 1.047145e-01 2.200000e+00 9.939573e-02
2.250000e+00 9.358083e-02 2.250000e+00 8.649980e-02
2.300000e+00 7.877263e-02 2.300000e+00 8.135820e-02
2.350000e+00 5.559740e-02 2.350000e+00 9.079909e-02
2.400000e+00 3.917544e-02 2.400000e+00 1.167320e-01
