# r_data chir_mag_data chir_real_data r_model chir_mag_model chir_real_model
0.000000e+00 8.032644e-04 8.032644e-04 0.000000e+00 1.253300e-02 1.253300e-02
3.067962e-02 7.790010e-04 7.306915e-04 3.067962e-02 1.262406e-02 1.259933e-02
6.135923e-02 7.056819e-04 5.322696e-04 6.135923e-02 1.286226e-02 1.274907e-02
9.203885e-02 5.832110e-04 2.665684e-04 9.203885e-02 1.316768e-02 1.286862e-02
1.227185e-01 4.156666e-04 2.483563e-05 1.227185e-01 1.346792e-02 1.285479e-02
1.533981e-01 2.166250e-04 -9.745270e-05 1.533981e-01 1.373702e-02 1.267051e-02
1.840777e-01 6.559656e-05 -4.898572e-05 1.840777e-01 1.399783e-02 1.233846e-02
2.147573e-01 2.244667e-04 1.369834e-04 2.147573e-01 1.429056e-02 1.188268e-02
2.454369e-01 3.756947e-04 3.469778e-04 2.454369e-01 1.463007e-02 1.127297e-02
2.761165e-01 4.492883e-04 4.488929e-04 2.761165e-01 1.498364e-02 1.042517e-02
3.067962e-01 4.202855e-04 3.791010e-04 3.067962e-01 1.528662e-02 9.262122e-03
3.374758e-01 2.818043e-04 1.942704e-04 3.374758e-01 1.548452e-02 7.783582e-03
3.681554e-01 5.549181e-05 4.260288e-05 3.681554e-01 1.557149e-02 6.078382e-03
3.988350e-01 2.514187e-04 6.501034e-05 3.988350e-01 1.559869e-02 4.256107e-03
4.295146e-01 5.498284e-04 2.928219e-04 4.295146e-01 1.564012e-02 2.348144e-03
4.601942e-01 7.911107e-04 6.178718e-04 4.601942e-01 1.572791e-02 2.692260e-04
4.908739e-01 9.146005e-04 8.590239e-04 4.908739e-01 1.579688e-02 -2.100441e-03
5.215535e-01 8.737551e-04 8.727725e-04 5.215535e-01 1.568165e-02 -4.743011e-03
5.522331e-01 6.365339e-04 6.185037e-04 5.522331e-01 1.516923e-02 -7.357367e-03
5.829127e-01 1.700681e-04 1.314061e-04 5.829127e-01 1.407161e-02 -9.367561e-03
6.135923e-01 6.307517e-04 -5.465991e-04 6.135923e-01 1.228275e-02 -1.012694e-02
6.442719e-01 1.920188e-03 -1.357118e-03 6.442719e-01 9.805688e-03 -9.226990e-03
6.749515e-01 3.994478e-03 -2.052913e-03 6.749515e-01 6.750092e-03 -6.733095e-03
7.056312e-01 7.201187e-03 -1.930143e-03 7.056312e-01 3.312875e-03 -3.197424e-03
7.363108e-01 1.188520e-02 2.978271e-04 7.363108e-01 7.199059e-04 5.667197e-04
7.669904e-01 1.832087e-02 6.207267e-03 7.669904e-01 4.121749e-03 3.811937e-03
7.976700e-01 2.665252e-02 1.685581e-02 7.976700e-01 7.708362e-03 6.084643e-03
8.283496e-01 3.684518e-02 3.171530e-02 8.283496e-01 1.125443e-02 7.229103e-03
8.590292e-01 4.865059e-02 4.792156e-02 8.590292e-01 1.484536e-02 7.207831e-03
8.897089e-01 6.159498e-02 6.046042e-02 8.897089e-01 1.857469e-02 5.913078e-03
9.203885e-01 7.499412e-02 6.355672e-02 9.203885e-01 2.245401e-02 3.144191e-03
9.510681e-01 8.799846e-02 5.290375e-02 9.510681e-01 2.637819e-02 -1.216256e-03
9.817477e-01 9.966769e-02 2.779551e-02 9.817477e-01 3.016744e-02 -6.975503e-03
1.012427e+00 1.090704e-01 -7.932017e-03 1.012427e+00 3.366981e-02 -1.357678e-02
1.043107e+00 1.154018e-01 -4.680843e-02 1.043107e+00 3.688669e-02 -2.033716e-02
1.073787e+00 1.181102e-01 -8.027983e-02 1.073787e+00 4.007206e-02 -2.686813e-02
1.104466e+00 1.170272e-01 -1.018464e-01 1.104466e+00 4.373596e-02 -3.338513e-02
1.135146e+00 1.124965e-01 -1.093706e-01 1.135146e+00 4.848433e-02 -4.062845e-02
1.165825e+00 1.055053e-01 -1.055052e-01 1.165825e+00 5.473258e-02 -4.935651e-02
1.196505e+00 9.779877e-02 -9.610797e-02 1.196505e+00 6.249143e-02 -5.968959e-02
1.227185e+00 9.185513e-02 -8.748743e-02 1.227185e+00 7.139602e-02 -7.074360e-02
1.257864e+00 9.036032e-02 -8.382271e-02 1.257864e+00 8.093311e-02 -8.085203e-02
1.288544e+00 9.496847e-02 -8.587553e-02 1.288544e+00 9.071784e-02 -8.828499e-02
1.319223e+00 1.053977e-01 -9.132403e-02 1.319223e+00 1.007221e-01 -9.199249e-02
1.349903e+00 1.201065e-01 -9.619369e-02 1.349903e+00 1.113973e-01 -9.181257e-02
1.380583e+00 1.375879e-01 -9.642860e-02 1.380583e+00 1.236281e-01 -8.790644e-02
1.411262e+00 1.569891e-01 -8.883256e-02 1.411262e+00 1.384765e-01 -7.973597e-02
1.441942e+00 1.780932e-01 -7.120229e-02 1.441942e+00 1.567986e-01 -6.530679e-02
1.472622e+00 2.010784e-01 -4.202970e-02 1.472622e+00 1.789504e-01 -4.133603e-02
1.503301e+00 2.262890e-01 -3.008573e-04 1.503301e+00 2.047720e-01 -4.442298e-03
1.533981e+00 2.541205e-01 5.435912e-02 1.533981e+00 2.338424e-01 4.725443e-02
1.564660e+00 2.850445e-01 1.213462e-01 1.564660e+00 2.658604e-01 1.130757e-01
1.595340e+00 3.197171e-01 1.988239e-01 1.595340e+00 3.009964e-01 1.898654e-01
1.626020e+00 3.590678e-01 2.835618e-01 1.626020e+00 3.400991e-01 2.729016e-01
1.656699e+00 4.042579e-01 3.704521e-01 1.656699e+00 3.846569e-01 3.565091e-01
1.687379e+00 4.564611e-01 4.512329e-01 1.687379e+00 4.364693e-01 4.332126e-01
1.718058e+00 5.165091e-01 5.125800e-01 1.718058e+00 4.970933e-01 4.913372e-01
1.748738e+00 5.845280e-01 5.348426e-01 1.748738e+00 5.672585e-01 5.126482e-01
1.779418e+00 6.596986e-01 4.935388e-01 1.779418e+00 6.464717e-01 4.728335e-01
1.810097e+00 7.402044e-01 3.653727e-01 1.810097e+00 7.329115e-01 3.472389e-01
1.840777e+00 8.233536e-01 1.386102e-01 1.840777e+00 8.235777e-01 1.219104e-01
1.871457e+00 9.058158e-01 -1.752586e-01 1.871457e+00 9.145904e-01 -1.934758e-01
1.902136e+00 9.839123e-01 -5.340217e-01 1.902136e+00 1.001549e+00 -5.569711e-01
1.932816e+00 1.053913e+00 -8.670336e-01 1.932816e+00 1.079900e+00 -8.963035e-01
1.963495e+00 1.112313e+00 -1.090009e+00 1.963495e+00 1.145281e+00 -1.124382e+00
1.994175e+00 1.156067e+00 -1.129791e+00 1.994175e+00 1.193839e+00 -1.165482e+00
2.024855e+00 1.182778e+00 -9.511746e-01 2.024855e+00 1.222493e+00 -9.834361e-01
2.055534e+00 1.190825e+00 -5.751498e-01 2.055534e+00 1.229140e+00 -6.004356e-01
2.086214e+00 1.179441e+00 -7.968596e-02 2.086214e+00 1.212795e+00 -9.722748e-02
2.116893e+00 1.148726e+00 4.196439e-01 2.116893e+00 1.173654e+00 4.077164e-01
2.147573e+00 1.099625e+00 8.037743e-01 2.147573e+00 1.113069e+00 7.938864e-01
2.178253e+00 1.033852e+00 9.870445e-01 2.178253e+00 1.033462e+00 9.765021e-01
2.208932e+00 9.537803e-01 9.431577e-01 2.208932e+00 9.381570e-01 9.321647e-01
2.239612e+00 8.623142e-01 7.104995e-01 2.239612e+00 8.311675e-01 7.028177e-01
